repo_name,commit,subject,message,is_corrective,is_adaptive,is_perfective,is_refactor,corrective,adaptive,perfective,refactor,change,comment,justification,batch
geneweb/geneweb,d506b73fceb708393fcf4bb1e6ba66fe25d22856,-,"-

",FALSE,FALSE,FALSE,FALSE,,,,,,uncertain,No text,random_batch_1
backdrop-ops/backdrop-pantheon,3b32bb6fc2c6866244c274dac52d5c7b5a054339,"- Patch #146470 by Eaton: install.php was hard-calling the user module's internal FAPI functions, and that line had been missed.","- Patch #146470 by Eaton: install.php was hard-calling the user module's internal FAPI functions, and that line had been missed.
",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
JetBrains/intellij-community,a01fb830ce2bc4c9d69fb37b9b291334be178379,AbstractTreeBuilder - initRootNode is performed on tree showNotify,"AbstractTreeBuilder - initRootNode is performed on tree showNotify
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,uncertain,,random_batch_1
apache/groovy,2187bee7ca7491e9e29751f1424d99bb89e5e117,"fix regression in swingbuilder.  default attributes weren't being applied to text where it maed sense, i.e. label(""text"") and friends were broken.","fix regression in swingbuilder.  default attributes weren't being applied to text where it maed sense, i.e. label(""text"") and friends were broken.

git-svn-id: aa43ce4553b005588bb3cc6c16966320b011facb@6389 a5544e8c-8a19-0410-ba12-f9af4593a198
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
unioslo/cerebrum,2e85b2eec9affdfcfa16449467043f40919c0cdd,Corrected expetion name.,"Corrected expetion name.

",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,changed name,,random_batch_1
pfsense/pfsense,dd50bba5c739b19e0c286728d5f5adc7d604e096,"Minor speed-up, config.cache has already been created in parse_config()","Minor speed-up, config.cache has already been created in parse_config()
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
textpattern/textpattern,d6a4be7cc269e03150d18cef1b1b628552605592,add $thislink to <txp:linklist />,"add $thislink to <txp:linklist />

git-svn-id: a8440ceda8ea1cbce8dd716a07505c8f7f8ce2dc@366 2fea6a4d-a838-0410-917b-93a53c48e9d2
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
Taeung/tip,53c0b59dcdb7c68c3cfd4b9a0bd17373b785f2eb,[PATCH] uml: fix dynamic linking on some 64-bit distros,"[PATCH] uml: fix dynamic linking on some 64-bit distros

With Paolo 'Blaisorblade' Giarrusso <25fbe3e5acbb7edd90bb5fdeec999a792321fbc4@yahoo.it>

The current UML build assumes that on x86-64 systems, /lib is a symlink
to /lib64, but in some distributions (like PLD and CentOS) they are
separate directories, so the 64 bit library loader isn't found.  This
patch inserts /lib64 at the start of the rpath on x86-64 UML builds.

Signed-off-by: Rob Landley <7e09c9d3e96378bf549fc283fd6e1e5b7014cc33@landley.net>
Signed-off-by: Paolo 'Blaisorblade' Giarrusso <25fbe3e5acbb7edd90bb5fdeec999a792321fbc4@yahoo.it>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@osdl.org>
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
processone/ejabberd,4f48b839c40cd4123b801aa08c08d5d7a0ea34c9,,"
* doc/guide.tex: Updated

SVN Revision: 453
",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
gphoto/libgphoto2,ace8ba38cec71d93008084cf415d50263c0783f6,added lg_gsm,"added lg_gsm


git-svn-id: 40dd595c6684d839db675001a64203a1457e7319@8322 67ed7778-7388-44ab-90cf-0a291f65f57c
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
moodle/moodle,2396b0d0c2ac7b3e241f5e1c366a80615898f256,Fixed one typo-bug! :-P,"Fixed one typo-bug! :-P
",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
google/llvm-propeller,f703b207cfc58d4bc46ad00926864305a01b9f3a,behold my standards-compliant humps!,"behold my standards-compliant humps!

llvm-svn: 25033
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
stinsonga/emacs-mirror,d105bfecce2288cd99f591382586a22a4ce1b6f2,(idlwave-shell-move-or-history): Remove spurious move to point-max (new comint behavior fixes).,"(idlwave-shell-move-or-history): Remove spurious move to point-max (new
comint behavior fixes).
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
htcondor/htcondor,6d19b6ddca41e222745e815b9801dffa7423c5d1,Declare _Ckpt_Via_TCP_Stream as an extern rather than defining it here.,"Declare _Ckpt_Via_TCP_Stream as an extern rather than defining it here.
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
samba-team/samba,c077bce5c0f760dc918b0442346502ec96a92c1b,nmbd would core dump if a large number of netbios aliases is set. The problem was a buffer overflow in process_node_status_request().,"nmbd would core dump if a large number of netbios aliases is set. The
problem was a buffer overflow in process_node_status_request().

this really points out a general problem is allocating MAX_DGRAM_SIZE
packets on the stack in nmbd. There must be a better way.
(This used to be commit 7db45f169c33e0f3a67ba2260049226992de8bdf)
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
moodle/moodle,2f05b46ec9944b986f5c8053abf8eab83deca8f0,Added language menus to top of login pages,"Added language menus to top of login pages
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
alkacon/opencms-core,72edb1adcdffc9681c78dd982380ee2617a20db8,"Updated import so that default folders are ignored in modules, also updated replace - logic in old import for /pics/ issue","Updated import so that default folders are ignored in modules,
also updated replace - logic in old import for /pics/ issue
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
htcondor/htcondor,415cb08bc388fa255fce957716bb90e274b2b75e,Just a few trivial changes in typecasting to make things compile without warnings under Ultrix 4.3a.,"Just a few trivial changes in typecasting to make things compile without
warnings under Ultrix 4.3a.
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
facebook/mysql-5.6,409fba38c930fb10f7de2d62cf7bf2af9b034140,"Style/spelling fixups, mainly of new privileges.","Style/spelling fixups, mainly of new privileges.
",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
Alfresco/alfresco-repository,fa0bb97dc124531ec0d7cbd19099bcd25b24986b,"Rejiggered ChildEntry and its mapping, for considerably better performance.  Actually  it was kind of a Doh! moment.","Rejiggered ChildEntry and its mapping, for considerably better performance.  Actually 
it was kind of a Doh! moment.


git-svn-id: 73723c88e515ffefeb999f17f805bc28b7fb2a89@4336 c4b6b30b-aa2e-2d43-bbcb-ca4b014f7261
",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
zulip/zulip,779ab0e3ca887a1b170c8885cee2e943942d53eb,Get apply_markdown value from REQ if it exists,"Get apply_markdown value from REQ if it exists

(imported from commit c93b0a96564535c0a0162e827a67379fdf166de9)
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
Wilfred/remacs,531cbff1cc53fe36ddf29a33876f3fdb9eb3666b,"(indent-sexp): If calculate-lisp-indent returns nil, don't change the line's indentation. (lisp-indent-line): Likewise. (lisp-comment-indent): Likewise. (calculate-lisp-indent): Return nil if line starts inside a string.","(indent-sexp): If calculate-lisp-indent returns nil,
don't change the line's indentation.
(lisp-indent-line): Likewise.
(lisp-comment-indent): Likewise.
(calculate-lisp-indent): Return nil if line starts inside a string.
",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
MarcNo/lifelines,7c7bb0d8c7432c828eb1a7d8ff8ae3806be9053b,Replaced itoa() int-to-string conversions with more-portable sprintf().,"Replaced itoa() int-to-string conversions with more-portable sprintf().
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
alisw/AliRoot,5f61b857cd2acf41500b40e526eec403c2f14101,Corrected for a bug: fRo was defined twice,"Corrected for a bug: fRo was defined twice

",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
wch/r-source,3e92ba48c2f36eebe0b82aef7956ba71c857e5b0,consistent use of dotrans,"consistent use of dotrans


git-svn-id: f298e5bd0fb7dd56202a0647512068a43d54496a@8362 00db46b3-68df-0310-9c12-caf00c1e9a41
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
unioslo/cerebrum,5ffbb117c6a49c04a9f77b6207ad1a6aad4a30d4,Fixed a typo bug in _query_disk_permissions().,"Fixed a typo bug in _query_disk_permissions().

",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
freeciv/freeciv,b6e7bf86cbdd9b519050f1e7970c3960d565d135,Replaced some code with calls to is_valid_city_coords().,"Replaced some code with calls to is_valid_city_coords().

Patch by Jason Short <jshort@users.sf.net> with format changes by me.

[[originally from CVS; cvs2svn created svn r3674]]
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
openssl/openssl,a22fb399cb7126d34134997db5536f0da67afcd2,Rework the system to generate shared libraries:,"Rework the system to generate shared libraries:

  - Make note of the expected extension for the shared libraries and
    if there is a need for symbolic links from for example libcrypto.so.0
    to libcrypto.so.0.9.7.  There is extended info in Configure for
    that.

  - Make as few rebuilds of the shared libraries as possible.

  - Still avoid linking the OpenSSL programs with the shared libraries.

  - When installing, install the shared libraries separately from the
    static ones.
",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,random_batch_1
Wilfred/remacs,3755bd32c9022973de835c42ffdadde1beb32f3a,(ediff-backup): New autoloaded command.,"(ediff-backup): New autoloaded command.
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
openbabel/openbabel,665ebcfdcdde297557f660116fac2e2805e9713d,Don't sync the .pbxuser preferences files.,"Don't sync the .pbxuser preferences files.

",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
alisw/AliRoot,5fbab78cccfcec377dcb134112ba2e7cb8a1b5bf,Corrected initialization of the data members and data ownership,"Corrected initialization of the data members and data ownership

",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
qgis/QGIS,2461bb69cf2da254b8b05cfd0a6630a75c715dad,bugfix related to single marker,"bugfix related to single marker


git-svn-id: 736967b34281393df2c2d27a33b8980e2cefa726@1053 c8812cc2-4d05-0410-92ff-de0c093fc19c
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
unioslo/cerebrum,d958ba1fcae574bb7c03baf8f1a62ec746cc25b7,Updated thisone some time ago to reflect some name changes,"Updated thisone some time ago to reflect some name changes

",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
alisw/AliRoot,0b44b78bc0eed8c0ac73ab8367114afd69e8d3ba,"Add input file name as a parameter, default is galice.root","Add input file name as a parameter, default is galice.root

",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
GNOME/gnome-control-center,f824b0dcc0519656ba3f5edf7d0e6208e16cd488,Updated dated file headers,"Updated dated file headers
",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
